Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,EVENT_ID,Odd_1,Odd_2,Rank_1,Rank_2,Pts_1,Pts_2
Concepcion Chall. Men,clay,Outdoor,Boscardin Dias P.,Reis Da Silva J.,4vuKo3sT,0fnJ8Cja,1/8-finals,2025-03-27,Mo7fAJW0,2.4,1.57,449.0,380.0,99.0,130.0
Concepcion Chall. Men,clay,Outdoor,Nava E.,Bueno G.,AJGo8fir,UZR4t48n,1/8-finals,2025-03-27,zoupXi2s,1.37,3.0,235.0,264.0,231.0,210.0
M15 Opatija ITF Men,clay,Outdoor,Hallquist Lithen J.,Nedic A.,CGjZME8k,xSEy3vPr,1/8-finals,2025-03-27,Q5n8zdgm,3.75,1.25,925.0,555.0,18.0,65.0
M15 Opatija ITF Men,clay,Outdoor,Simundza J.,Madarasz G.,rNdizKtN,GYSzoU6R,1/8-finals,2025-03-27,red0szWj,2.02,1.73,887.0,792.0,21.0,29.0
M15 Opatija ITF Men,clay,Outdoor,Mikrut L.,Gschwendtner J.,Wv7XRRCI,jsSzo7Us,1/8-finals,2025-03-27,bsBeM9Sa,1.08,7.0,360.0,1124.0,141.0,10.0
M15 Opatija ITF Men,clay,Outdoor,Oberleitner N.,Perez Contri S.,C02ZcN0K,nTs4uii1,1/8-finals,2025-03-27,2uqZi7Hi,1.83,1.95,431.0,721.0,110.0,37.0
M15 Opatija ITF Men,clay,Outdoor,Ivanisevic E.,Vrbensky M.,QH43HhwS,CAHWb37o,1/8-finals,2025-03-27,WjHGUnwA,11.0,1.03,,406.0,,118.0
M15 Opatija ITF Men,clay,Outdoor,Sorger S.,Kolar Z.,YVX2xrZ3,rwvvD1sO,1/8-finals,2025-03-27,lIQf9kK7,3.4,1.3,663.0,399.0,45.0,120.0
M15 Opatija ITF Men,clay,Outdoor,Milic O.,Kupcic J.,06Zumgy7,jakl92iG,1/8-finals,2025-03-27,Sdu95yfD,2.02,1.73,1643.0,998.0,2.0,15.0
M15 Opatija ITF Men,clay,Outdoor,Bielinskyi V.,Ivanovski K.,0zwUw7ae,8jFgmHi2,1/8-finals,2025-03-27,2TQKiUnS,,,540.0,1325.0,69.0,5.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Hannestad B.,Cazacu D. N.,dj37reBs,Ys8BgO2B,1/8-finals,2025-03-27,2DfV4b4e,,,1334.0,828.0,5.0,25.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Nagel A.,Wenger D.,6eO0SM8J,27Su8SM7,1/8-finals,2025-03-27,2HhRkKKD,2.65,1.44,994.0,647.0,15.0,47.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Broska F.,Pankin S.,8K76hSpA,AqOZJFvK,1/8-finals,2025-03-27,hbZiVYoB,1.15,5.0,503.0,1006.0,79.0,14.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Ionel N. D.,Bellifemine A.,rZoAMC0F,hj8g2peP,1/8-finals,2025-03-27,8YkVvdSr,1.11,6.0,364.0,912.0,139.0,19.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Christodoulou S.,D'Agostino S.,YXWWUCzS,C08PWPwb,1/8-finals,2025-03-27,jXepENb6,3.0,1.39,2073.0,819.0,1.0,26.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Noce G. M.,Hopp M.,r7oqXqGP,E7xc6a95,1/8-finals,2025-03-27,2kfHxN8k,1.8,2.0,851.0,1187.0,23.0,8.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Parizzia N.,Boitan G. A.,zPzGK6wK,0Y4LAw2l,1/8-finals,2025-03-27,YgfDHd5b,6.5,1.1,1423.0,379.0,4.0,131.0
M15 Alaminos 3 ITF Men,clay,Outdoor,Bertimon M.,Honda N.,I7AYUsni,pC2uDb19,1/8-finals,2025-03-27,vZJiGTdB,,,829.0,845.0,25.0,23.0
W15 Alaminos 3 ITF Women,clay,Outdoor,Bakhmutkina P.,Simion O.,KOUAxQ2S,QVBmMmoq,1/8-finals,2025-03-27,j17X5GDF,4.5,1.17,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Oliver Sanchez M.,Ricci B.,x8DXxyFD,8bGfUqTM,1/8-finals,2025-03-27,UadN6KZr,7.0,1.08,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Aristegui M.,Kuhl C.,fqhcgAkF,x6DAjVjC,1/8-finals,2025-03-27,fmcKyXR6,7.0,1.08,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Breen S.,Avataneo S.,SdeCPdYq,KpeHh77A,1/8-finals,2025-03-27,tKscJcJl,1.4,3.0,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Brune A.,Squarcialupi G.,hG7rUSCC,6JHeJHhF,1/8-finals,2025-03-27,OE5u4frS,2.1,1.67,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Duerst J.,Sagmar I.,ppuj2p3L,rgiQyfCa,1/8-finals,2025-03-27,25l8Vstf,1.02,13.0,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Nagy A.,Firman A.,KppOkDfr,tOgpGk0f,1/8-finals,2025-03-27,vmZRnfJj,1.5,2.5,,,,
W15 Alaminos 3 ITF Women,clay,Outdoor,Fetecau I.,Vasilyeva A.,88JkTZXP,KtK3eh8B,1/8-finals,2025-03-27,fslDFFID,1.06,8.0,,,,
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Arseneault M.,Johns G.,AeqjajZ4,r9hKDU3U,1/8-finals,2025-03-27,xpMo4yam,7.0,1.08,1432.0,392.0,4.0,122.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Bailly G. A.,Aguilar J. C. M.,rNSGbSql,rwlfWinj,1/8-finals,2025-03-27,dIvTWr8b,1.62,2.2,622.0,487.0,51.0,84.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Cid Subervi R.,Ross J.,CEMftmEG,l0yAhRAl,1/8-finals,2025-03-27,0dpv0p4T,1.12,5.5,450.0,1125.0,98.0,10.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,McHugh A.,Arseneault N.,6mqo5tyC,GYqn0WJb,1/8-finals,2025-03-27,AimrIwsC,1.33,3.25,470.0,1082.0,88.0,11.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Baker B.,Bertran P.,GpqDfZio,xG1pDfib,1/8-finals,2025-03-27,dOwN4N7l,2.1,1.67,1255.0,469.0,6.0,89.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Flores J.,Muamba N.,0CTefcu8,hbnMacPT,1/8-finals,2025-03-27,bex0TCGN,1.44,2.62,896.0,1528.0,20.0,3.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Hurrion M.,Klier Junior G.,IcTmRIBf,IHPjQLNh,1/8-finals,2025-03-27,Cnvcs3T6,2.2,1.62,822.0,1046.0,25.0,12.0
M25 Santo Domingo 2 ITF Men,hard,Outdoor,Munoz E.,Brunclik P.,b1RpkmBM,jVnKvEsp,1/8-finals,2025-03-27,GCvayjJ6,10.0,1.04,,863.0,,22.0
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Akli A.,Cross K.,lYIXolpg,bNv93cUs,1/8-finals,2025-03-27,QwlqCAn2,2.1,1.67,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Branstine C.,Brace C.,S8vyAxRf,ILn43dk2,1/8-finals,2025-03-27,23aYNhTN,1.4,2.75,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Helgo M.,Banks A.,6oEs5hsA,pWwx5ylk,1/8-finals,2025-03-27,O8CG4p1c,1.91,1.8,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,McDonald E.,Sanchez A. S.,pOESWIvh,zZiiCAEg,1/8-finals,2025-03-27,8UDD80q3,2.1,1.67,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Daavettila S.,Boskovic L.,GMSQvTER,YDN2k7yT,1/8-finals,2025-03-27,AyyPRauJ,2.62,1.44,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Ngounoue C.,Guerrero Alvarez E.,dlm9zwW5,WUf6std4,1/8-finals,2025-03-27,jXklqPbf,1.33,3.25,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Tkacheva M.,Vandewinkel H.,C6LIOynL,Qw6Rciy8,1/8-finals,2025-03-27,tOLRpcid,2.62,1.44,,,,
W50 Santo Domingo 2 ITF Women,hard,Outdoor,Urhobo A.,Sonobe W.,OWWpdkTo,fqDTTLYa,1/8-finals,2025-03-27,GbaQMj4D,2.5,1.5,,,,
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Arutiunian E.,Bassem Sobhy M.,MF4g5i1o,tzDJdud6,1/8-finals,2025-03-27,nkfLLJ9U,1.3,3.4,601.0,936.0,56.0,18.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Elsayed A.,Moroni F.,QNdYa78o,U33YqHNl,1/8-finals,2025-03-27,GOItXhCE,,,689.0,1181.0,41.0,8.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Gengel M.,Hipfl N.,bFThaUAS,GKSrsP3H,1/8-finals,2025-03-27,nkfmfxRG,1.17,4.5,237.0,1086.0,230.0,11.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Purtseladze S.,Krylov A.,OI2qf1Ze,vkWTceNd,1/8-finals,2025-03-27,Ymi3QilT,1.05,9.0,442.0,,104.0,
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Moraing O.,Ursu V.,f3b5CAx0,ENsOeB1H,1/8-finals,2025-03-27,6DcCIRRO,,,1348.0,420.0,5.0,114.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Tamm K.,Kivattsev K.,xEMUcAZq,lYTGGh9p,1/8-finals,2025-03-27,OAH9OvxP,2.1,1.67,852.0,528.0,23.0,72.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Waldner N.,Zakaria F.,xz4TEIlg,4d70BiXI,1/8-finals,2025-03-27,URQliQH5,3.25,1.33,1370.0,753.0,5.0,33.0
M15 Sharm ElSheikh 9 ITF Men,hard,Outdoor,Krajci M.,Bakshi A.,UPs5Qw3f,6i3rVodO,1/8-finals,2025-03-27,Qi7ZLdvf,,,1065.0,472.0,12.0,88.0
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Bejenaru K. P.,Alhussein L.,OMvSqOjs,CvDob5Zt,1/8-finals,2025-03-27,nyy5IWjo,,,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Vasilescu A.,Sawashiro K.,2BUOMD9G,xE7G3oLC,1/8-finals,2025-03-27,OldeN4Vq,,,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Ezzat Y.,Kalyakina M.,4tIAQcH8,Qs2iRuRh,1/8-finals,2025-03-27,4YbUs8yf,1.5,2.5,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Lazarenko K.,Paukstyte P.,ELPIxXJo,6JIOekXP,1/8-finals,2025-03-27,8AuZcjiB,1.44,2.62,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Samir S.,Piani D.,Kt2L3vod,xzijPoX1,1/8-finals,2025-03-27,nwUKdr0L,1.53,2.38,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Tupitsyna E.,Ansari C.,2qqwbUX9,0p23zV42,1/8-finals,2025-03-27,GYLiBFqI,,,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Cembranos P.,Gorska D.,xnyRVBx9,tfIDU25e,1/8-finals,2025-03-27,4Wa0dBpA,1.73,2.0,,,,
W15 Sharm ElSheikh 9 ITF Women,hard,Outdoor,Mamedova E.,Kuzmova K.,ELsR9m9n,zPhg3qEf,1/8-finals,2025-03-27,6PFenC4C,4.0,1.22,,,,
M25 Saint Dizier ITF Men,hard,Outdoor,Ghazouani Durand Y.,Freire Da Silva A.,C6bdjyfd,fRC4NeHq,1/8-finals,2025-03-27,ILSZKVBj,1.44,2.7,934.0,1093.0,18.0,11.0
M25 Saint Dizier ITF Men,hard,Outdoor,Reco A.,Vincent A.,rcGvfyAK,pfKtEjmg,1/8-finals,2025-03-27,fqNWGB8U,1.17,4.5,770.0,1226.0,31.0,7.0
M25 Saint Dizier ITF Men,hard,Outdoor,Story J.,Rosenkranz M.,K80j7V9T,tYgxYrjJ,1/8-finals,2025-03-27,2Lh7IgcL,2.5,1.5,708.0,339.0,38.0,153.0
M25 Saint Dizier ITF Men,hard,Outdoor,De Jonge D.,Massard L.,tGGdpX9d,KzhabclH,1/8-finals,2025-03-27,KpZ3eCm3,3.15,1.36,1064.0,585.0,12.0,59.0
M25 Saint Dizier ITF Men,hard,Outdoor,Added D.,Chidekh C.,bwW3LbI0,E1Wpe7Co,1/8-finals,2025-03-27,4UjV16ZG,3.5,1.29,501.0,268.0,80.0,203.0
M25 Saint Dizier ITF Men,hard,Outdoor,Bourgue M.,Vaksmann R.,xOhWcTc9,jHHShzgF,1/8-finals,2025-03-27,OIsyZGnn,1.14,5.3,511.0,1739.0,77.0,2.0
M25 Saint Dizier ITF Men,hard,Outdoor,Wendelken H.,Handel T.,d6y39t1s,bVBqu7hI,1/8-finals,2025-03-27,6P7ske8t,1.4,2.85,632.0,613.0,50.0,53.0
M25 Saint Dizier ITF Men,hard,Outdoor,Loffhagen G.,Perot R.,dIeJbHWb,hAyWDlGJ,1/8-finals,2025-03-27,jBtOia2E,1.4,2.75,438.0,1322.0,107.0,5.0
