Tournament,Surface,Court,Player_1,Player_2,ID_P1,ID_P2,Round,Date,EVENT_ID,Odd_1,Odd_2,Rank_1,Rank_2,Pts_1,Pts_2
M15 Foggia ITF Men,clay,Outdoor,Bronzetti A.,Broady L.,WYhq8ylM,UTu7grNI,1/8-finals,2025-03-27,pARnlYZa,3.25,1.33,1053.0,730.0,12.0,35.0
M15 Foggia ITF Men,clay,Outdoor,La Vela G.,Vasami J.,pfUhRct8,MaKQfer1,1/8-finals,2025-03-27,Obi9a3SF,1.92,2.0,805.0,1619.0,28.0,2.0
M15 Foggia ITF Men,clay,Outdoor,Mazza M.,Perfetti N.,MBgeOclJ,40ax25HU,1/8-finals,2025-03-27,0jTHjCw8,,,834.0,890.0,24.0,21.0
M15 Foggia ITF Men,clay,Outdoor,Crisostomo G.,Juarez F.,IDWqEeq2,6JuNHbeH,1/8-finals,2025-03-27,ldm3BLeB,7.0,1.15,1725.0,486.0,2.0,84.0
Naples Chall. Men,clay,Outdoor,Herbert P.,Rehberg M. H.,vD0zNRBM,8AjWdU1N,1/8-finals,2025-03-27,OG6OeGNp,1.7,2.1,150.0,240.0,383.0,229.0
Naples Chall. Men,clay,Outdoor,Onclin G.,Pellegrino A.,dtG17O9l,ENPUiYgk,1/8-finals,2025-03-27,rihhUzU9,2.35,1.67,211.0,263.0,270.0,210.0
Naples Chall. Men,clay,Outdoor,Darderi L.,Nagal S.,jeXTxMIp,46aHbwDc,1/8-finals,2025-03-27,tOJAIhml,1.3,3.5,61.0,139.0,945.0,428.0
Naples Chall. Men,clay,Outdoor,Wawrinka S.,Coric B.,Uo9lu6le,QZdb3dWH,1/8-finals,2025-03-27,lQvWPzeE,2.67,1.45,168.0,112.0,339.0,530.0
M15 Tsukuba ITF Men,hard,Outdoor,Tabata R.,Takahashi Y.,U5FLD1gn,2kYVdoCo,1/8-finals,2025-03-27,nNBQWGx2,4.0,1.25,1881.0,519.0,1.0,75.0
M15 Tsukuba ITF Men,hard,Outdoor,Kusuhara Y.,Chung H.,U12MD469,C48I3FZ3,1/8-finals,2025-03-27,ETZqDdGG,10.0,1.04,1275.0,676.0,6.0,43.0
M15 Tsukuba ITF Men,hard,Outdoor,Kumasaka T.,Lee K.,vRKj99hc,v5u9pFvC,1/8-finals,2025-03-27,EoRkPVZa,1.52,2.36,542.0,858.0,68.0,22.0
M15 Tsukuba ITF Men,hard,Outdoor,Hsu Y. H.,Shiraishi H.,WxwHu3lG,pO5LT6LB,Quarter-finals,2025-03-27,Oz3IJZAm,1.37,3.25,226.0,546.0,245.0,67.0
M15 Tsukuba ITF Men,hard,Outdoor,Kumasaka T.,Tabata R.,vRKj99hc,U5FLD1gn,Quarter-finals,2025-03-27,KOwsEjdM,1.36,3.1,542.0,1881.0,68.0,1.0
M15 Tsukuba ITF Men,hard,Outdoor,Peliwo F.,Yamanaka T.,x6aKFC7p,nVnqQlUo,Quarter-finals,2025-03-27,80bbcqfo,1.77,2.0,608.0,906.0,54.0,20.0
M15 Tsukuba ITF Men,hard,Outdoor,Sinclair C.,Chung H.,Oxu66IL4,C48I3FZ3,Quarter-finals,2025-03-27,Y7uZFCR9,6.0,1.11,696.0,676.0,40.0,43.0
Morelia Chall. Men,hard,Outdoor,Cassone M.,Tirante T. A.,O4aHjdoE,jBkGDj34,1/8-finals,2025-03-27,0SbkWUT0,2.35,1.67,223.0,117.0,252.0,512.0
Morelia Chall. Men,hard,Outdoor,Mannarino A.,Popko D.,fLOdtByM,vaYnE8tL,1/8-finals,2025-03-27,lluphCjK,1.33,3.25,145.0,245.0,411.0,225.0
Morelia Chall. Men,hard,Outdoor,Grenier H.,Eubanks C.,dQsvQVYi,roxxrh4k,1/8-finals,2025-03-27,jRtCydVa,2.25,1.62,204.0,104.0,283.0,563.0
Morelia Chall. Men,hard,Outdoor,Tomic B.,Lajal M.,fVQY2TUC,2q51si8O,1/8-finals,2025-03-27,8Kbnwwso,2.94,1.4,219.0,205.0,258.0,282.0
Puerto Vallarta Chall. Women,hard,Outdoor,Hon P.,Joint M.,jy1nvLTe,AqLslEIk,1/8-finals,2025-03-27,0Gt62piD,2.55,1.5,,,,
Puerto Vallarta Chall. Women,hard,Outdoor,Sorribes Tormo S.,Watson H.,xEGb8F4p,OMXPbN89,1/8-finals,2025-03-27,OhKhlZE5,1.57,2.38,,,,
Puerto Vallarta Chall. Women,hard,Outdoor,Pera B.,Masarova R.,My7MkGPr,KGQ2bDHb,1/8-finals,2025-03-27,ltuK9XNa,1.64,2.23,,,,
Puerto Vallarta Chall. Women,hard,Outdoor,Stakusic M.,Cocciaretto E.,QqnrZJm5,pA0aW3EL,1/8-finals,2025-03-27,YDIQ0tZi,2.4,1.56,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Ponchet J.,Monnot A.,hbXrCD0b,0AUSOSrC,1/8-finals,2025-03-27,8fuoEgOP,1.4,2.75,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Rushiti A.,Mikulskyte J.,E9EuKLkP,CAN1jVGF,1/8-finals,2025-03-27,Ms9eRNug,2.8,1.5,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Avdeeva J.,Marcinko P.,j572Ekuh,2J180sTE,1/8-finals,2025-03-27,EBfvcTIU,2.0,1.75,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Bolkvadze M.,Bartunkova N.,vySLbjQG,84ILHaZ4,1/8-finals,2025-03-27,0xS1j0U7,2.25,1.62,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Rosatello C.,Knutson G.,tQUXZxHO,bscuUrLj,1/8-finals,2025-03-27,GzHwWfsR,2.6,1.5,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Kubka M.,Juvan K.,0rUdL1O9,xSJxJs6E,1/8-finals,2025-03-27,lnUsONgd,3.5,1.29,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,Leonard M.,Valentova T.,6ukvX7TR,hWMZK1VQ,1/8-finals,2025-03-27,n7enIOy8,3.2,1.36,,,,
W75 Murska Sobota ITF Women,hard (indoor),Outdoor,McAdoo R.,Klimovicova L.,vVtyMGmh,E5pWnRLG,1/8-finals,2025-03-27,06oUDE4N,6.0,1.12,,,,
Girona Chall. Men,clay,Outdoor,Albot R.,Skatov T.,OnoPKE7m,h6n0i9iE,1/8-finals,2025-03-27,xS04JIzn,2.75,1.44,189.0,175.0,303.0,328.0
Girona Chall. Men,clay,Outdoor,Moller E.,Budkov Kjaer N.,SU8MMreH,Gj3CGbX5,1/8-finals,2025-03-27,8xQXCTaS,1.67,2.28,156.0,306.0,370.0,172.0
Girona Chall. Men,clay,Outdoor,De Jong J.,Misolic F.,8jStUWzB,CfH4SF3G,1/8-finals,2025-03-27,GdWmhLKk,1.4,2.85,105.0,246.0,562.0,224.0
Girona Chall. Men,clay,Outdoor,Neumayer L.,Ofner S.,4ffrgw5a,h6vs3iR2,1/8-finals,2025-03-27,ngUzFcpg,1.8,2.0,209.0,131.0,273.0,448.0
Girona Chall. Men,clay,Outdoor,Lajovic D.,Moro Canas A.,bJf33z45,MkI9xkTq,1/8-finals,2025-03-27,vkdHX8ed,1.57,2.4,108.0,153.0,555.0,375.0
Girona Chall. Men,clay,Outdoor,Fucsovics M.,Cilic M.,GhQFzFli,nLoK5syL,1/8-finals,2025-03-27,vVmI1Yin,1.57,2.38,90.0,143.0,666.0,413.0
Girona Chall. Men,clay,Outdoor,Blanchet U.,Hassan B.,pSmNT7D2,W66euka4,1/8-finals,2025-03-27,YmNd6Sil,2.1,1.73,158.0,207.0,360.0,277.0
Girona Chall. Men,clay,Outdoor,Radulov I.,Carreno-Busta P.,YsC3U3Oi,W8WmcXdq,1/8-finals,2025-03-27,AB7Ssoro,4.8,1.2,537.0,109.0,70.0,554.0
M25 Tarragona ITF Men,clay,Outdoor,Juan Mano A.,Geerts M.,vuRxHO7G,jVP5NQJK,1/8-finals,2025-03-27,fHAgSMx0,7.0,1.08,1668.0,303.0,2.0,174.0
M25 Tarragona ITF Men,clay,Outdoor,Brancaccio R.,Molcan A.,Ec4ddDyl,drgiRTl7,1/8-finals,2025-03-27,jDXXUiNO,1.5,2.62,432.0,645.0,109.0,47.0
M25 Tarragona ITF Men,clay,Outdoor,Santamarta Roig A.,Lopez Montagud C.,KnnBhEso,nsBSIUxP,1/8-finals,2025-03-27,rJALqU6s,1.73,2.33,1177.0,489.0,8.0,84.0
M25 Tarragona ITF Men,clay,Outdoor,Cesar Porras J.,Kopp S.,Sx50ZAEp,juk28X9Q,1/8-finals,2025-03-27,xKzw9tQO,2.54,1.5,561.0,384.0,64.0,128.0
M25 Tarragona ITF Men,clay,Outdoor,Marti Pujolras A.,Sanchez Izquierdo N.,dxjELWFL,6gnbtDJM,1/8-finals,2025-03-27,z3zIXvLF,1.67,2.08,336.0,349.0,156.0,146.0
M25 Tarragona ITF Men,clay,Outdoor,Gutierrez O. J.,Molleker R.,KngbSEyS,6RBmhB5N,1/8-finals,2025-03-27,jXNa45se,4.4,1.2,1001.0,323.0,15.0,161.0
M25 Tarragona ITF Men,clay,Outdoor,Sanchez Quilez A.,Montes-De La Torre I.,KG5iw4Ad,4CYXUVX7,1/8-finals,2025-03-27,lM2IQuRE,3.75,1.25,674.0,507.0,44.0,78.0
M25 Tarragona ITF Men,clay,Outdoor,Tabur C.,Sanchez Jover C.,fHPZtbgE,fLXWkLuE,1/8-finals,2025-03-27,I1x5mrHU,1.73,2.02,363.0,267.0,139.0,203.0
W35 Terrassa ITF Women,clay,Outdoor,Boisson L.,Rouvroy M.,KYHXSqUN,xhsuPZNK,Quarter-finals,2025-03-27,I92WcKRi,1.44,2.75,,,,
W35 Terrassa ITF Women,clay,Outdoor,Burillo Escorihuela I.,Bassols M.,YZQnwtm9,dvDRCAx9,Quarter-finals,2025-03-27,QNmeSDJG,2.75,1.4,,,,
W35 Terrassa ITF Women,clay,Outdoor,Pigato L.,Klugman H.,fg39SFtR,UBK4SRuM,Quarter-finals,2025-03-27,fHj7GQ57,1.73,2.0,,,,
W35 Terrassa ITF Women,clay,Outdoor,Tagger L.,Rame A.,UT72lXiG,G8DaAheG,Quarter-finals,2025-03-27,j1FGZP1N,1.73,2.05,,,,
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Lee J. M.,Dzhavakian Y.,jo0rWAGm,ATs6urG2,1/8-finals,2025-03-27,UH5uWjm4,,,1050.0,505.0,12.0,79.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Sornlaksup P.,Lobanov A.,CnQoeiqR,Chg6ehb2,1/8-finals,2025-03-27,zw9mQLGr,,,835.0,935.0,24.0,18.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Knaff A.,Park U.,QgRlFufK,CxUpojVi,1/8-finals,2025-03-27,GYyN90W1,1.65,2.2,726.0,979.0,36.0,15.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Leong M. W. K.,Lee D. H.,6wmyFFV7,jXtRZ7Uf,1/8-finals,2025-03-27,ruU8X3O8,1.67,2.1,619.0,765.0,52.0,31.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Khazime D.,Donnet E.,AaT3mCUg,2kmMRrQ3,1/8-finals,2025-03-27,GnHeOaoe,,,1063.0,723.0,12.0,36.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Castelnuovo L.,Jones H.,tMTm47i0,pEDk72l8,1/8-finals,2025-03-27,dWLLBM1k,,,748.0,1089.0,33.0,11.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Kopeikin V.,Imai S.,CGoLBpsd,UDGJst62,1/8-finals,2025-03-27,l0F3MwG7,,,1182.0,548.0,8.0,66.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Palan D.,M Rifqi F.,Q5wGqMq4,YX3TOSit,1/8-finals,2025-03-27,4fIHVsgL,,,618.0,1222.0,52.0,7.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Knaff A.,Lobanov A.,QgRlFufK,Chg6ehb2,Quarter-finals,2025-03-27,bkRj3Zs4,,,726.0,935.0,36.0,18.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Leong M. W. K.,Lee J. M.,6wmyFFV7,jo0rWAGm,Quarter-finals,2025-03-27,G0MC9V5T,,,619.0,1050.0,52.0,12.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,Jones H.,Donnet E.,pEDk72l8,2kmMRrQ3,Quarter-finals,2025-03-27,pYsWEfIk,,,1089.0,723.0,11.0,36.0
M15 Nonthaburi 3 ITF Men,hard,Outdoor,M Rifqi F.,Imai S.,YX3TOSit,UDGJst62,Quarter-finals,2025-03-27,6LPbgd9e,,,1222.0,548.0,7.0,66.0
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Kovapitukted P.,Goto R.,QazPsMV3,AiyK4R56,1/8-finals,2025-03-27,pY9j2mrH,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Nitture A. D.,Kawamura M.,rwS3wvlH,8Anhz9J4,1/8-finals,2025-03-27,t03a0RCT,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Matsuda R.,Yodpetch K.,O6D601Xs,p0I8jh4d,1/8-finals,2025-03-27,YmF88dkt,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Thongkum P.,Cheapchandej P.,tAbVAlE7,IT1Nplx5,1/8-finals,2025-03-27,61DG6zKh,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Desvignes E. M.,Morvayova V.,U7GWif8L,vP3vu5nm,1/8-finals,2025-03-27,0KnlCEtP,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Lee J. E.,Jang G.,dWQG4V4S,lj0um52s,1/8-finals,2025-03-27,2T6P4El5,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Sidorova K.,Thamchaiwat B.,rqQcVVKE,lfBy39QB,1/8-finals,2025-03-27,tfl0NvkQ,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Buchnik M.,Chanta A.,QsbKz3qh,vu6u9eYC,1/8-finals,2025-03-27,AgAX2hJH,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Kovapitukted P.,Kawamura M.,QazPsMV3,8Anhz9J4,Quarter-finals,2025-03-27,hlKa1DCG,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Sidorova K.,Morvayova V.,rqQcVVKE,vP3vu5nm,Quarter-finals,2025-03-27,z3WmuxE4,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Yodpetch K.,Cheapchandej P.,p0I8jh4d,IT1Nplx5,Quarter-finals,2025-03-27,pnavfV4j,,,,,,
W15 Nonthaburi 2 ITF Women,hard,Outdoor,Jang G.,Chanta A.,lj0um52s,vu6u9eYC,Quarter-finals,2025-03-27,KjdERX1e,,,,,,
M15 Monastir 12 ITF Men,hard,Outdoor,Pokorny L.,Sciahbasi L.,YZZma2ED,p08bxsEl,1/8-finals,2025-03-27,4fCUoRo3,,,433.0,1312.0,109.0,6.0
M15 Monastir 12 ITF Men,hard,Outdoor,Bax F.,Rapagnetta D.,bLE16tQq,h8p2EBeE,1/8-finals,2025-03-27,Wlx08hSp,,,499.0,1039.0,81.0,13.0
M15 Monastir 12 ITF Men,hard,Outdoor,Beauge M.,Sakellaridis D.,fqv50OZ6,8fwXlCfa,1/8-finals,2025-03-27,vwWG8Xom,,,667.0,1131.0,45.0,10.0
M15 Monastir 12 ITF Men,hard,Outdoor,Khamis Y.,Jans J.,M58tMUOM,GhdpAvaF,1/8-finals,2025-03-27,t4s9Z0j3,,,2140.0,1637.0,1.0,2.0
M15 Monastir 12 ITF Men,hard,Outdoor,Seghetti S.,Ouakaa A.,I7eVpPcR,2BtG9FCD,1/8-finals,2025-03-27,O4rQz1w2,,,1510.0,690.0,3.0,41.0
M15 Monastir 12 ITF Men,hard,Outdoor,Potenza L.,Aubriot A.,KQ97KSpp,IB6rAbr3,1/8-finals,2025-03-27,SSLxpZjd,,,564.0,889.0,63.0,21.0
M15 Monastir 12 ITF Men,hard,Outdoor,Giunta M.,Echargui M.,hQkb3GZ8,65tqemRH,1/8-finals,2025-03-27,vRDUtDY9,,,698.0,495.0,40.0,82.0
M15 Monastir 12 ITF Men,hard,Outdoor,Tonejc V.,Barsukov N.,Y334kd7K,0nmHAnmT,1/8-finals,2025-03-27,SWc01Pc3,,,1145.0,,9.0,
W15 Monastir 12 ITF Women,hard,Outdoor,Van den Broek I. L.,Zelnickova R.,jgkwgMP1,2yKQRdij,1/8-finals,2025-03-27,WOh9ZUQq,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Milovanovic E.,Pfeifer L.,zRaGvw2M,z5oXSOEn,1/8-finals,2025-03-27,bwiIWlsh,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Van Emst S.,Cabaj Awad J.,rHTIZlAr,EsKmIeoB,1/8-finals,2025-03-27,hncbjjWI,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Bubelyte K.,Radovanovic N.,Sb6CGLWs,hrwKEMB4,1/8-finals,2025-03-27,YVDZQpBT,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Lollia M.,Zabolotnaia E.,fRhMaEoN,fXlM23Bd,1/8-finals,2025-03-27,E976uryp,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Lemaitre T.,Du Pree B.,v5Rqcqd7,p0O7n3eA,1/8-finals,2025-03-27,vicLFzzB,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Ivanova I.,Leclercq M.,2ewQiEWd,SMqlAUwp,1/8-finals,2025-03-27,r9FjiMNr,,,,,,
W15 Monastir 12 ITF Women,hard,Outdoor,Stusek J.,Guth M.,MN00XZF9,d0rtetKq,1/8-finals,2025-03-27,fekaKFS8,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Danilovic O.,Fett J.,ID57P88P,fc9W6odL,1/8-finals,2025-03-27,fkECiZBl,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Gao X.,Erjavec V.,l2kcaiDr,rsErY1Yt,1/8-finals,2025-03-27,8vqMCOQa,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Kraus S.,Jimenez Kasintseva V.,6oA7gaee,hU5bke4O,1/8-finals,2025-03-27,l60fpEAb,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Pridankina E.,Bouzas Maneiro J.,KYbF10KE,Gj20DdaG,1/8-finals,2025-03-27,jcHLlIwH,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Rakhimova K.,Selekhmeteva O.,boU2UKtN,v7vDWRvO,1/8-finals,2025-03-27,2BVik0he,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Carle M. L.,Bogdan A.,bHSsQ9ek,046jJj30,1/8-finals,2025-03-27,CUrbn3oT,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Galfi D.,Zidansek T.,dGbzUtWd,UiaMC9xj,1/8-finals,2025-03-27,MgZejak2,,,,,,
Antalya 2 Chall. Women,clay,Outdoor,Waltert S.,Bejlek S.,ALs3vJ11,jVCKq0LH,1/8-finals,2025-03-27,fVNCjv94,,,,,,
M15 Antalya 10 ITF Men,clay,Outdoor,Krumich M.,Nedelko I.,WKaCDElC,fDQ48vnb,1/8-finals,2025-03-27,vy9RNI9s,,,516.0,893.0,76.0,20.0
M15 Antalya 10 ITF Men,clay,Outdoor,Vankan M.,Gulin S.,f5JHTw8p,zsPR6kKa,1/8-finals,2025-03-27,SQ49Tdan,,,713.0,475.0,38.0,87.0
M15 Antalya 10 ITF Men,clay,Outdoor,Faurel T.,Agabigun S.,vgfc2Q2F,jN7RZbmb,1/8-finals,2025-03-27,fZDO7xq3,,,1363.0,1637.0,5.0,2.0
M15 Antalya 10 ITF Men,clay,Outdoor,Nicod J.,Ghetu G.,bXDP9OZ5,hKlKZQLd,1/8-finals,2025-03-27,2kCrE2s9,,,443.0,1228.0,102.0,7.0
M15 Antalya 10 ITF Men,clay,Outdoor,Barreto Sanchez D. A.,Slump S.,Y3fPZsZj,6iwptza2,1/8-finals,2025-03-27,ImisGmOG,,,597.0,550.0,57.0,66.0
M15 Antalya 10 ITF Men,clay,Outdoor,Fomin S.,Manzanera Pertusa A.,nsLeJUw8,Em6VB5YH,1/8-finals,2025-03-27,pzgZH9g4,,,543.0,643.0,68.0,48.0
M15 Antalya 10 ITF Men,clay,Outdoor,Picchione A.,Demanet E.,UgYMlRTa,buC7ACRr,1/8-finals,2025-03-27,MFAW2xZ7,,,357.0,652.0,143.0,47.0
M15 Antalya 10 ITF Men,clay,Outdoor,Matuszewski G.,Piraino G.,CYvVxRcF,2VTqlA8l,1/8-finals,2025-03-27,Yk410bVa,,,1753.0,429.0,2.0,111.0
W35 Antalya 4 ITF Women,clay,Outdoor,Ambrosio S.,Karatancheva L.,tEP1bDQ8,zqwKJ6Yd,1/8-finals,2025-03-27,jmSbiHbM,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Bulatova A.,Oktiabreva A.,WdlTOqRu,2ozhvVx0,1/8-finals,2025-03-27,pIaZikpp,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Cakarevic S.,Amariei I. D.,4U3Rn6Sc,hnSjsqNn,1/8-finals,2025-03-27,thPM7twQ,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Han J.,Dinu C.,fXZ4zUIU,Q3wtrOvH,1/8-finals,2025-03-27,46xVA2eC,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Lovric P.,Kovackova J.,tjmKNr7A,KjxcnQaN,1/8-finals,2025-03-27,tG79bx0C,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Herazo Gonzalez M.,Toth A. K.,QydF0vXo,6s0Bm30D,1/8-finals,2025-03-27,OMwLBmkL,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Sobolieva A.,Glushkova D.,4AGU3dN1,GCVy5Dvm,1/8-finals,2025-03-27,jN0vdbd4,,,,,,
W35 Antalya 4 ITF Women,clay,Outdoor,Samson L.,Kotliar Y.,WQ5OxBkB,QBLvktT9,1/8-finals,2025-03-27,AFFjCtCL,,,,,,
"M25 Calabasas, CA ITF Men",hard,Outdoor,Dickerson R.,Dostanic S.,KKc7qpgc,jiqOrpb5,1/8-finals,2025-03-27,f31HP7xo,,,1298.0,485.0,6.0,84.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Martin A.,Ponwith N.,h2AG5rdm,W4ZN0F9L,1/8-finals,2025-03-27,YBZHNmq9,,,494.0,774.0,82.0,31.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Monday J.,Hohmann R.,AZ8DoX8b,YuYFR8Q1,1/8-finals,2025-03-27,vThwedXg,,,288.0,1339.0,186.0,5.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Nanda G.,Poertner L.,YybLIQyl,6JKk3IWe,1/8-finals,2025-03-27,8jR2fAOh,,,391.0,868.0,122.0,22.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Gray A.,Brumm J.,2PmpIG6p,bo0dpKSC,1/8-finals,2025-03-27,8YeIOCZ0,,,427.0,620.0,111.0,52.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Kirchheimer S.,Winter E.,AebXIVfC,fXlEz2LO,1/8-finals,2025-03-27,KACx7m8b,,,604.0,610.0,54.0,53.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Rodriguez R.,Blanch Dar.,GUKsGe51,67fP0sJ3,1/8-finals,2025-03-27,rN2hRKDk,,,1128.0,685.0,10.0,42.0
"M25 Calabasas, CA ITF Men",hard,Outdoor,Vandecasteele Q.,Pinnington Jones J.,dxMNhGrH,jRDvhb4q,1/8-finals,2025-03-27,6V6pGIw3,,,717.0,358.0,37.0,142.0
Miami ATP,hard,Outdoor,Fils A.,Mensik J.,IoIhUqIN,UFj257G8,Quarter-finals,2025-03-27,COXgdWgt,,,18.0,54.0,2480.0,1042.0
Miami ATP,hard,Outdoor,Korda S.,Djokovic N.,SYklCTPO,AZg49Et9,Quarter-finals,2025-03-27,SKB2uZ6E,,,25.0,5.0,1860.0,3860.0
Miami ATP,hard,Outdoor,Fritz T.,Berrettini M.,UH09iaZ6,OhwtM7N8,Quarter-finals,2025-03-27,fkKOpUrf,,,4.0,30.0,4900.0,1580.0
Miami WTA,hard,Outdoor,Sabalenka A.,Paolini J.,vyhksgUB,noaX0EJn,Semi-finals,2025-03-27,8dGansKb,,,,,,
Miami WTA,hard,Outdoor,Pegula J.,Eala A.,KdojxrAR,ppu9X7PH,Semi-finals,2025-03-27,dl1QHDu0,,,,,,
